UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED,
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Agway Energy Services, LLC.","350938","ELECTRIC","Variable","Yes",".1175 kWh","No","1 Month(s)","No","null","02/07/2022 11:25:04 AM","null","To help you make the most informed decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage provides Peace of Mind repair protection on your home&#39;s primary a/c unit and interior electric lines. ","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Agway Energy Services, LLC.","350943","ELECTRIC","Variable","Yes",".1175 kWh","Yes","1 Month(s)","No","null","02/07/2022 11:26:27 AM","null","To help you make your decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage gives Peace of Mind repair protection on your home&#39;s primary a/c unit &amp; interior electric lines. GreenChoice supports cleaner renewable resources.","NO","1","Hydroelectric","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Alpha Gas and Electric, LLC","349884","ELECTRIC","Fixed","Yes",".1099 kWh","No","24 Month(s)","No","null","01/17/2022 03:02:26 PM","null","Green-e certified Electric, 2 year Price protected fixed rate, Free month of energy supply after a year of service, NO cancellation fees. See terms and conditions for more info and visit https://alphagasandelectric.com/P2C/ to enroll.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Ambit New York, LLC","349573","ELECTRIC","Variable","Yes",".108 kWh","No","1 Month(s)","No","null","01/13/2022 05:48:39 PM","null","Ambit&#39;s Guaranteed Savings Plan (GSP) provides a 1% annual savings compared to what the incumbent utility would have charged if you were a full-service customer for the same period. After 12 consecutive months on the GSP, you&#39;ll either save with Ambit or we&#39;ll mail a check for the difference. ","YES","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","American Power & Gas, LLC","349580","ELECTRIC","Fixed","Yes",".0899 kWh","Yes","12 Month(s)","Yes","$75 per account","01/14/2022 11:11:15 AM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Atlantic Energy, LLC","350497","ELECTRIC","Fixed","Yes",".139 kWh","Yes","12 Month(s)","Yes","$100","02/01/2022 10:23:45 AM","null","null","NO","0.52","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Central Hudson Gas & Electric Corporation","351338","ELECTRIC","Variable","Yes",".21995 kWh","No","0 ","No","null","02/10/2022 08:29:33 AM","null","The rate is for residential service and is quoted in dollars per kWh. The rate is effective as of February 10, 2022 and normally changes on or about the 11th-13th day of each month. There is an additional savings of $.00144 per kWh for accounts that take ESCO service and receive dual bills.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351184","ELECTRIC","Fixed","Yes",".1181 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:05:33 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351185","ELECTRIC","Fixed","Yes",".1168 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:05:45 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351186","ELECTRIC","Fixed","Yes",".115 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:05:57 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351187","ELECTRIC","Fixed","Yes",".114 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:06:14 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351228","ELECTRIC","Fixed","Yes",".1116 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:16:56 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351229","ELECTRIC","Fixed","Yes",".1103 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:17:10 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351230","ELECTRIC","Fixed","Yes",".1085 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:17:32 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","351231","ELECTRIC","Fixed","Yes",".1075 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:17:45 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Clearview Energy","350876","ELECTRIC","Variable","Yes",".0999 kWh","Yes","1 Month(s)","No","null","02/04/2022 01:14:10 PM","null","Green ValueAssurance 6:
100% Green Product
Rate Type: Variable
Variable Month to Month contract with a promotional rate that will not increase for the 6-month term of the promotion.

Cancellation Fee: 0
","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Constellation NewEnergy, Inc.","350578","ELECTRIC","Fixed","Yes",".0749 kWh","No","24 Month(s)","Yes","100","02/01/2022 03:48:47 PM","null","null","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Direct Energy Services, LLC","349007","ELECTRIC","Variable","Yes",".1309 kWh","Yes","1 Month(s)","No","null","01/06/2022 02:20:31 AM","null","null","NO","1","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Family Energy, Inc. d/b/a MYRATE ENERGY","349854","ELECTRIC","Fixed","Yes",".1359 kWh","Yes","60 Month(s)","Yes","An early cancellation fee of $100 for any Agreement(s) with a remaining Term of less than twelve (12) months or $200 for any Agreement with a remaining Term of more than twelve (12) months will apply if the Agreement(s) is terminated prior to the end of the Term.","01/17/2022 09:09:12 AM","null","Renewable Energy Credits that is at least 50% greater than the applicable Tier 1 Load Serving Entity obligation under the Renewable Energy Standard for any given year. More information at www.nyserda.ny.gov. You may pay a daily customer charge of 25 cents, including commodity related charges.","NO","0.54","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Great American Gas & Electric, LLC","351014","ELECTRIC","Fixed","Yes",".10276 kWh","Yes","12 Month(s)","Yes","100","02/07/2022 01:27:02 PM","null","null","NO","0.5","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","351153","ELECTRIC","Variable","Yes",".18 kWh","Yes","1 Month(s)","No","null","02/09/2022 11:28:28 AM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","351154","ELECTRIC","Variable","Yes",".17 kWh","Yes","1 Month(s)","No","null","02/09/2022 11:29:00 AM","null","Sign up for the Green Mountain Energy Pollution Free Plan. 
50% New York Renewable, 50% National Wind","NO","1","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","IDT Energy, Inc.","350847","ELECTRIC","Variable","Yes",".1185 kWh","Yes","1 Month(s)","No","null","02/03/2022 08:11:24 PM","null","IDTEs Premium Renewable Energy Product, is a 100% renewably sourced product. IDTE may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Lock in this price for your first month. Go to www.idtenergy.com.","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Inspire Energy Holdings, LLC","349203","ELECTRIC","Variable","Yes",".0849 kWh","Yes","1 Month(s)","No","null","01/11/2022 12:58:56 PM","null","Monthly Evergreen Plan - A Month-to-Month per kWh price for access to renewable energy with a 12-Month Introductory Price.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","349790","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","01/15/2022 09:01:00 AM","null","Kiwi Green 100 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 100% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors","YES","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","349806","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","01/15/2022 09:11:13 AM","null","Kiwi Green 50 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 50% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors.","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","349820","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","01/15/2022 09:13:32 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
