UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Agway Energy Services, LLC.","354438","ELECTRIC","Variable","Yes",".199 kWh","No","1 Month(s)","No","null","04/08/2022 02:00:52 PM","null","To help you make the most informed decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage provides Peace of Mind repair protection on your home&#39;s primary a/c unit and interior electric lines. ","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Agway Energy Services, LLC.","354443","ELECTRIC","Variable","Yes",".199 kWh","Yes","1 Month(s)","No","null","04/08/2022 02:02:06 PM","null","To help you make your decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage gives Peace of Mind repair protection on your home&#39;s primary a/c unit &amp; interior electric lines. GreenChoice supports cleaner renewable resources.","NO","1","Hydroelectric","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Alpha Gas and Electric, LLC","353587","ELECTRIC","Fixed","Yes",".1199 kWh","No","24 Month(s)","No","null","03/24/2022 02:02:19 PM","null","Green-e certified Electric, 2 year Price protected fixed rate, Free month of energy supply after a year of service, NO cancellation fees. See terms and conditions for more info and visit https://alphagasandelectric.com/P2C/ to enroll","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Ambit New York, LLC","354520","ELECTRIC","Variable","Yes",".13 kWh","No","1 Month(s)","No","null","04/11/2022 03:33:13 PM","null","Ambit&#39;s Guaranteed Savings Plan (GSP) provides a 1% annual savings compared to what the incumbent utility would have charged if you were a full-service customer for the same period. After 12 consecutive months on the GSP, you&#39;ll either save with Ambit or we&#39;ll mail a check for the difference. ","YES","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","American Power & Gas, LLC","353961","ELECTRIC","Fixed","Yes",".1259 kWh","Yes","12 Month(s)","Yes","$75 per account","04/01/2022 08:54:28 AM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Atlantic Energy, LLC","354074","ELECTRIC","Fixed","Yes",".139 kWh","Yes","12 Month(s)","Yes","$100","04/01/2022 11:52:00 AM","null","null","NO","0.52","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Central Hudson Gas & Electric Corporation","354517","ELECTRIC","Variable","Yes",".14053 kWh","No","0 ","No","null","04/11/2022 09:57:13 AM","null","The rate is for residential service and is quoted in dollars per kWh. The rate is effective as of April 12, 2022 and normally changes on or about the 11th-13th day of each month. There is an additional savings of $.00144 per kWh for accounts that take ESCO service and receive dual bills.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354233","ELECTRIC","Fixed","Yes",".1382 kWh","Yes","12 Month(s)","No","null","04/07/2022 09:30:50 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354234","ELECTRIC","Fixed","Yes",".1261 kWh","Yes","18 Month(s)","No","null","04/07/2022 09:31:03 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354235","ELECTRIC","Fixed","Yes",".1286 kWh","Yes","24 Month(s)","No","null","04/07/2022 09:31:20 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354236","ELECTRIC","Fixed","Yes",".1228 kWh","Yes","30 Month(s)","No","null","04/07/2022 09:31:36 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354277","ELECTRIC","Fixed","Yes",".1317 kWh","Yes","12 Month(s)","No","null","04/07/2022 09:45:03 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354278","ELECTRIC","Fixed","Yes",".1196 kWh","Yes","18 Month(s)","No","null","04/07/2022 09:45:16 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354279","ELECTRIC","Fixed","Yes",".1221 kWh","Yes","24 Month(s)","No","null","04/07/2022 09:45:28 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","354280","ELECTRIC","Fixed","Yes",".1163 kWh","Yes","30 Month(s)","No","null","04/07/2022 09:45:41 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Clearview Energy","354486","ELECTRIC","Variable","Yes",".0989 kWh","Yes","1 Month(s)","No","null","04/08/2022 04:21:19 PM","null","Green ValueAssurance 6:
100% Green Product
Rate Type: Variable
Variable Month to Month contract with a promotional rate that will not increase for the 6-month term of the promotion.

Cancellation Fee: 0
","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Columbia Utilities Power, LLC","354873","ELECTRIC","Variable","Yes",".092 kWh","Yes","0 Month(s)","No","null","04/15/2022 02:58:10 PM","null","null","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Constellation NewEnergy, Inc.","353521","ELECTRIC","Fixed","Yes",".1039 kWh","No","36 Month(s)","Yes","100","03/22/2022 06:00:57 PM","null","Complete HVAC System Coverage + Electronic Surge ","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Direct Energy Services, LLC","354131","ELECTRIC","Variable","Yes",".0929 kWh","Yes","1 Month(s)","No","null","04/04/2022 01:41:06 AM","null","null","NO","1","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Family Energy, Inc. d/b/a MYRATE ENERGY","354741","ELECTRIC","Fixed","Yes",".1359 kWh","Yes","60 Month(s)","Yes","An early cancellation fee of $100 for any Agreement(s) with a remaining Term of less than twelve (12) months or $200 for any Agreement with a remaining Term of more than twelve (12) months will apply if the Agreement(s) is terminated prior to the end of the Term.","04/14/2022 09:09:45 AM","null","Renewable Energy Credits that is at least 50% greater than the applicable Tier 1 Load Serving Entity obligation under the Renewable Energy Standard for any given year. More information at www.nyserda.ny.gov. You may pay a daily customer charge of 25 cents, including commodity related charges.","NO","0.54","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Great American Gas & Electric, LLC","354145","ELECTRIC","Fixed","Yes",".12476 kWh","Yes","12 Month(s)","Yes","100","04/04/2022 12:09:54 PM","null","null","NO","0.5","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Great American Gas & Electric, LLC","354146","ELECTRIC","Fixed","Yes",".12476 kWh","Yes","12 Month(s)","Yes","100","04/04/2022 12:10:09 PM","null","null","NO","0.5","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","354632","ELECTRIC","Variable","Yes",".18 kWh","Yes","1 Month(s)","No","null","04/13/2022 12:50:37 PM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","354633","ELECTRIC","Variable","Yes",".18 kWh","Yes","1 Month(s)","No","null","04/13/2022 12:50:46 PM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","354634","ELECTRIC","Variable","Yes",".17 kWh","Yes","1 Month(s)","No","null","04/13/2022 12:50:55 PM","null","Sign up for the Green Mountain Energy Pollution Free Plan. 
50% New York Renewable, 50% National Wind","NO","1","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","IDT Energy, Inc.","354165","ELECTRIC","Variable","Yes",".122 kWh","Yes","1 Month(s)","No","null","04/05/2022 08:47:02 AM","null","IDTEs Premium Renewable Energy Product, is a 100% renewably sourced product. IDTE may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Lock in this price for your first month. Go to www.idtenergy.com.","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Inspire Energy Holdings, LLC","353537","ELECTRIC","Fixed","Yes",".0849 kWh","Yes","6 Month(s)","No","null","03/22/2022 10:03:23 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","353211","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","03/18/2022 10:26:40 AM","null","Kiwi Green 100 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 100% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","353220","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","03/18/2022 10:28:22 AM","null","Kiwi Green 50 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 50% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors.","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","353229","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","03/18/2022 10:30:39 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Kiwi Energy NY, LLC.","353235","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","03/18/2022 10:32:27 AM","null","Kiwi Guard - Home Protect is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service) + Surge Protection of up to $500 per year. See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Major Energy Electric Services, LLC","354203","ELECTRIC","Fixed","Yes",".1099 kWh","Yes","36 Month(s)","No","null","04/05/2022 12:14:08 PM","null","New York Green 36.","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Major Energy Electric Services, LLC","354204","ELECTRIC","Fixed","Yes",".1109 kWh","Yes","24 Month(s)","No","null","04/05/2022 12:14:16 PM","null","New York Green 24.
","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Major Energy Electric Services, LLC","354205","ELECTRIC","Fixed","Yes",".1139 kWh","Yes","12 Month(s)","No","null","04/05/2022 12:14:38 PM","null","New York Green 12.","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","NRG Home, NRG Business and NRG Retail Solutions","354645","ELECTRIC","Variable","Yes",".11 kWh","Yes","1 Month(s)","No","null","04/13/2022 01:10:37 PM","null","Our NY Renewable Electricity Plan provides 50% NY Green. Visit www.picknrg.com
","NO","0.5","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","New York Gas & Electric","353947","ELECTRIC","Variable","Yes",".0999 kWh","No","0 Month(s)","No","null","04/01/2022 02:55:40 AM","null","Power Flex Home Protect lets you stay flexible with a monthly electricity rate and rest easy with an included service plan - which covers the repair and/or replacement of covered parts of your HVAC and your home&#39;s internal electrical lines.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Nordic Energy Services, LLC","354509","ELECTRIC","Variable","Yes",".08999 kWh","Yes","1 Month(s)","No","null","04/11/2022 09:27:28 AM","null","Promotional price of 0.08999 will be the same for 3 months ","NO","1","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354321","ELECTRIC","Fixed","Yes",".1382 kWh","Yes","12 Month(s)","No","null","04/07/2022 09:55:40 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354322","ELECTRIC","Fixed","Yes",".1261 kWh","Yes","18 Month(s)","No","null","04/07/2022 09:55:51 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354323","ELECTRIC","Fixed","Yes",".1286 kWh","Yes","24 Month(s)","No","null","04/07/2022 09:56:01 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354324","ELECTRIC","Fixed","Yes",".1228 kWh","Yes","30 Month(s)","No","null","04/07/2022 09:56:11 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354352","ELECTRIC","Fixed","Yes",".1317 kWh","Yes","12 Month(s)","No","null","04/07/2022 10:01:50 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354353","ELECTRIC","Fixed","Yes",".1196 kWh","Yes","18 Month(s)","No","null","04/07/2022 10:02:00 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354354","ELECTRIC","Fixed","Yes",".1221 kWh","Yes","24 Month(s)","No","null","04/07/2022 10:02:12 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pay Less Energy, LLC","354355","ELECTRIC","Fixed","Yes",".1163 kWh","Yes","30 Month(s)","No","null","04/07/2022 10:02:20 AM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Pure Energy","354824","ELECTRIC","Variable","Yes",".30999 kWh","Yes","1 Month(s)","No","null","04/15/2022 12:51:17 PM","null","Pure Energy USA, LLC offers 100% Renewable Energy.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Residents Energy, LLC","354173","ELECTRIC","Variable","Yes",".122 kWh","Yes","1 Month(s)","No","null","04/05/2022 09:02:11 AM","null","Lock in this price for your first month of service. RES Premium Renewable Energy Product, is a 100% renewably sourced product. RES may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Go to www.residentsenergy.com.","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","SunSea Energy LLC","353936","ELECTRIC","Variable","Yes",".1799 kWh","Yes","1 Month(s)","No","null","03/31/2022 05:11:28 PM","null","SunSea Offers 100% Renewable Energy Products.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","XOOM Energy New York, LLC","354114","ELECTRIC","Variable","Yes",".1369 kWh","Yes","1 Month(s)","No","null","04/01/2022 02:05:12 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","XOOM Energy New York, LLC","354115","ELECTRIC","Fixed","Yes",".1249 kWh","Yes","24 Month(s)","No","null","04/01/2022 02:05:31 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in Zone E","American Power & Gas, LLC","353289","ELECTRIC","Variable","Yes",".109 kWh","Yes","48 Month(s)","No","null","03/21/2022 08:18:45 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months.","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
