UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Agway Energy Services, LLC.","352426","ELECTRIC","Variable","Yes",".199 kWh","Yes","1 Month(s)","No","null","03/04/2022 10:21:03 AM","null","To help you make your decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage gives Peace of Mind repair protection on your home&#39;s primary a/c unit &amp; interior electric lines. GreenChoice supports cleaner renewable resources.","NO","1","Hydroelectric","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Agway Energy Services, LLC.","352431","ELECTRIC","Variable","Yes",".199 kWh","No","1 Month(s)","No","null","03/04/2022 10:22:35 AM","null","To help you make the most informed decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage provides Peace of Mind repair protection on your home&#39;s primary a/c unit and interior electric lines. ","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Alpha Gas and Electric, LLC","351920","ELECTRIC","Fixed","Yes",".1099 kWh","No","24 Month(s)","No","null","02/22/2022 12:17:17 PM","null","Green-e certified Electric, 2 year Price protected fixed rate, Free month of energy supply after a year of service, NO cancellation fees. See terms and conditions for more info and visit https://alphagasandelectric.com/P2C/ to enroll.","NO","0","null","YES","YES",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Ambit New York, LLC","352889","ELECTRIC","Variable","Yes",".121 kWh","No","1 Month(s)","No","null","03/11/2022 05:27:29 PM","null","Ambit&#39;s Guaranteed Savings Plan (GSP) provides a 1% annual savings compared to what the incumbent utility would have charged if you were a full-service customer for the same period. After 12 consecutive months on the GSP, you&#39;ll either save with Ambit or we&#39;ll mail a check for the difference. ","YES","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","American Power & Gas, LLC","351557","ELECTRIC","Fixed","Yes",".0899 kWh","Yes","12 Month(s)","Yes","$75 per account","02/17/2022 09:24:43 AM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Atlantic Energy, LLC","352118","ELECTRIC","Fixed","Yes",".139 kWh","Yes","12 Month(s)","Yes","$100","03/01/2022 01:08:14 PM","null","null","NO","0.52","Hydroelectric,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Central Hudson Gas & Electric Corporation","352810","ELECTRIC","Variable","Yes",".11967 kWh","No","0 ","No","null","03/10/2022 07:36:41 AM","null","The rate is for residential service and is quoted in dollars per kWh. The rate is effective as of March 11, 2022 and normally changes on or about the 11th-13th day of each month. There is an additional savings of $.00144 per kWh for accounts that take ESCO service and receive dual bills.","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353048","ELECTRIC","Fixed","Yes",".1291 kWh","Yes","12 Month(s)","No","null","03/15/2022 09:00:05 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353049","ELECTRIC","Fixed","Yes",".1184 kWh","Yes","18 Month(s)","No","null","03/15/2022 09:00:18 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353050","ELECTRIC","Fixed","Yes",".1225 kWh","Yes","24 Month(s)","No","null","03/15/2022 09:00:33 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353051","ELECTRIC","Fixed","Yes",".1177 kWh","Yes","30 Month(s)","No","null","03/15/2022 09:00:45 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353092","ELECTRIC","Fixed","Yes",".1226 kWh","Yes","12 Month(s)","No","null","03/15/2022 09:11:16 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353093","ELECTRIC","Fixed","Yes",".1119 kWh","Yes","18 Month(s)","No","null","03/15/2022 09:11:30 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353094","ELECTRIC","Fixed","Yes",".116 kWh","Yes","24 Month(s)","No","null","03/15/2022 09:11:43 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","City Power & Gas, LLC","353095","ELECTRIC","Fixed","Yes",".1112 kWh","Yes","30 Month(s)","No","null","03/15/2022 09:11:57 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Clearview Energy","352549","ELECTRIC","Variable","Yes",".1019 kWh","Yes","1 Month(s)","No","null","03/04/2022 05:21:13 PM","null","Green ValueAssurance 6:
100% Green Product
Rate Type: Variable
Variable Month to Month contract with a promotional rate that will not increase for the 6-month term of the promotion.

Cancellation Fee: 0
","NO","1","Hydroelectric","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Constellation NewEnergy, Inc.","352554","ELECTRIC","Fixed","Yes",".0999 kWh","No","36 Month(s)","Yes","100","03/07/2022 07:57:46 AM","null","Complete HVAC System Coverage + Electronic Surge ","NO","0","null","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Direct Energy Services, LLC","352893","ELECTRIC","Variable","Yes",".0999 kWh","Yes","1 Month(s)","No","null","03/14/2022 02:16:28 AM","null","null","NO","1","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Family Energy, Inc. d/b/a MYRATE ENERGY","352926","ELECTRIC","Fixed","Yes",".1359 kWh","Yes","60 Month(s)","Yes","An early cancellation fee of $100 for any Agreement(s) with a remaining Term of less than twelve (12) months or $200 for any Agreement with a remaining Term of more than twelve (12) months will apply if the Agreement(s) is terminated prior to the end of the Term.","03/15/2022 09:09:04 AM","null","Renewable Energy Credits that is at least 50% greater than the applicable Tier 1 Load Serving Entity obligation under the Renewable Energy Standard for any given year. More information at www.nyserda.ny.gov. You may pay a daily customer charge of 25 cents, including commodity related charges.","NO","0.54","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Great American Gas & Electric, LLC","352376","ELECTRIC","Fixed","Yes",".10279 kWh","Yes","12 Month(s)","Yes","100","03/03/2022 10:55:52 AM","null","null","NO","0.5","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","352797","ELECTRIC","Variable","Yes",".18 kWh","Yes","1 Month(s)","No","null","03/09/2022 12:45:15 PM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","352798","ELECTRIC","Variable","Yes",".18 kWh","Yes","1 Month(s)","No","null","03/09/2022 12:45:16 PM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","Green Mountain Energy Company","352799","ELECTRIC","Variable","Yes",".17 kWh","Yes","1 Month(s)","No","null","03/09/2022 12:46:42 PM","null","Sign up for the Green Mountain Energy Pollution Free Plan. 
50% New York Renewable, 50% National Wind","NO","1","Wind","YES","NO",
"Central Hudson Gas & Electric Corporation","CHGE in All Zones","IDT Energy, Inc.","352448","ELECTRIC","Variable","Yes",".115 kWh","Yes","1 Month(s)","No","null","03/04/2022 10:51:22 AM","null","IDTEs Premium Renewable Energy Product, is a 100% renewably sourced product. IDTE may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Lock in this price for your first month. Go to www.idtenergy.com.","NO","1","Hydroelectric","YES","NO",
